NAV Date,NAV (Rs)
28-06-2024,54.463
27-06-2024,54.528
26-06-2024,54.545
25-06-2024,54.589
24-06-2024,54.273
21-06-2024,54.17
20-06-2024,54.316
19-06-2024,54.14
18-06-2024,54.143
14-06-2024,53.891
13-06-2024,53.548
12-06-2024,53.312
11-06-2024,53.04
10-06-2024,53.02
07-06-2024,52.867
06-06-2024,51.986
05-06-2024,51.246
04-06-2024,49.628
03-06-2024,52.509
31-05-2024,51.157
30-05-2024,51.128
29-05-2024,51.498
28-05-2024,51.647
27-05-2024,51.838
24-05-2024,51.897
23-05-2024,51.773
22-05-2024,51.213
21-05-2024,50.998
17-05-2024,50.83
16-05-2024,50.475
15-05-2024,50.065
14-05-2024,49.887
13-05-2024,49.579
10-05-2024,49.494
09-05-2024,49.294
08-05-2024,50.02
07-05-2024,49.922
06-05-2024,50.385
03-05-2024,50.434
02-05-2024,50.75
30-04-2024,50.6
29-04-2024,50.646
26-04-2024,50.303
25-04-2024,50.46
24-04-2024,50.051
23-04-2024,49.804
22-04-2024,49.638
19-04-2024,49.194
18-04-2024,49.106
16-04-2024,49.223
15-04-2024,49.319
12-04-2024,49.895
10-04-2024,50.359
09-04-2024,50.141
08-04-2024,50.175
05-04-2024,49.958
04-04-2024,49.798
03-04-2024,49.69
02-04-2024,49.591
01-04-2024,49.494
31-03-2024,49.068
28-03-2024,49.068
27-03-2024,48.776
26-03-2024,48.474
22-03-2024,48.501
21-03-2024,48.19
20-03-2024,47.671
19-03-2024,47.696
18-03-2024,48.158
15-03-2024,47.946
14-03-2024,48.08
13-03-2024,47.535
12-03-2024,48.489
11-03-2024,48.809
07-03-2024,49.16
06-03-2024,49.08
05-03-2024,49.068
04-03-2024,49.108
01-03-2024,48.876
29-02-2024,48.51
28-02-2024,48.432
27-02-2024,48.958
26-02-2024,48.846
23-02-2024,48.788
22-02-2024,48.628
21-02-2024,48.39
20-02-2024,48.658
19-02-2024,48.613
16-02-2024,48.387
15-02-2024,48.063
14-02-2024,47.871
13-02-2024,47.573
12-02-2024,47.287
09-02-2024,47.937
08-02-2024,48.041
07-02-2024,48.284
06-02-2024,48.298
05-02-2024,47.823
02-02-2024,47.894
01-02-2024,47.776
31-01-2024,47.826
30-01-2024,47.31
29-01-2024,47.444
25-01-2024,46.942
24-01-2024,47.108
23-01-2024,46.613
19-01-2024,47.347
18-01-2024,46.927
17-01-2024,46.913
16-01-2024,47.539
15-01-2024,47.673
12-01-2024,47.354
11-01-2024,47.056
10-01-2024,46.861
09-01-2024,46.683
08-01-2024,46.511
05-01-2024,46.901
04-01-2024,46.761
03-01-2024,46.474
02-01-2024,46.403
01-01-2024,46.564
29-12-2023,46.512
28-12-2023,46.486
27-12-2023,46.304
26-12-2023,45.92
22-12-2023,45.691
21-12-2023,45.473
20-12-2023,45.186
19-12-2023,45.986
18-12-2023,45.871
15-12-2023,45.775
14-12-2023,45.506
13-12-2023,45.144
12-12-2023,44.931
11-12-2023,44.966
08-12-2023,44.847
07-12-2023,44.803
06-12-2023,44.775
05-12-2023,44.765
04-12-2023,44.615
01-12-2023,43.814
30-11-2023,43.538
29-11-2023,43.315
28-11-2023,42.977
24-11-2023,42.871
23-11-2023,42.858
22-11-2023,42.835
21-11-2023,42.852
20-11-2023,42.69
17-11-2023,42.646
16-11-2023,42.63
15-11-2023,42.491
13-11-2023,42.08
10-11-2023,41.991
09-11-2023,41.918
08-11-2023,41.948
07-11-2023,41.851
06-11-2023,41.779
03-11-2023,41.388
02-11-2023,41.124
01-11-2023,40.873
31-10-2023,40.997
30-10-2023,41.057
27-10-2023,40.901
26-10-2023,40.392
25-10-2023,40.7
23-10-2023,41.039
20-10-2023,41.775
19-10-2023,41.983
18-10-2023,42.01
17-10-2023,42.209
16-10-2023,42.059
13-10-2023,42.017
12-10-2023,42.088
11-10-2023,42.03
10-10-2023,41.822
09-10-2023,41.479
06-10-2023,41.828
05-10-2023,41.626
04-10-2023,41.454
03-10-2023,41.812
29-09-2023,41.876
27-09-2023,41.851
26-09-2023,41.751
25-09-2023,41.754
22-09-2023,41.738
21-09-2023,41.892
20-09-2023,42.251
18-09-2023,42.642
15-09-2023,42.777
14-09-2023,42.58
13-09-2023,42.366
12-09-2023,42.215
11-09-2023,42.779
08-09-2023,42.514
07-09-2023,42.368
06-09-2023,42.156
05-09-2023,42.097
04-09-2023,42.005
01-09-2023,41.8
31-08-2023,41.553
30-08-2023,41.506
29-08-2023,41.47
28-08-2023,41.384
25-08-2023,41.275
24-08-2023,41.521
23-08-2023,41.551
22-08-2023,41.366
21-08-2023,41.193
18-08-2023,40.947
17-08-2023,41.042
16-08-2023,41.097
14-08-2023,40.968
11-08-2023,41.143
10-08-2023,41.28
09-08-2023,41.39
08-08-2023,41.181
